raw_finish_time, proof_generation_time, proof_checking_time, raw_proof_size, raw_derivation_steps, trimmed_proof_size, trimmed_derivation_steps
0.0440058708190918, 0.05341315269470215, 0, 0, 0, 0, 0
0.034026145935058594, 0.03947591781616211, 0, 0, 0, 0, 0
0.023460865020751953, 0.03765606880187988, 0, 0, 0, 0, 0
0.023256778717041016, 0.035636186599731445, 0, 0, 0, 0, 0
0.046484947204589844, 0.062364816665649414, 0, 0, 0, 0, 0
0.10413217544555664, 0.1333179473876953, 0, 0, 0, 0, 0
0.023252010345458984, 0.05253410339355469, 0, 0, 0, 0, 0
0.1163630485534668, 0.1398909091949463, 0, 0, 0, 0, 0
0.026751995086669922, 0.03983616828918457, 0, 0, 0, 0, 0
0.19984102249145508, 0.2347261905670166, 0, 0, 0, 0, 0
0.10758304595947266, 0.12869000434875488, 0, 0, 0, 0, 0
0.10770916938781738, 0.12819290161132812, 0, 0, 0, 0, 0
0.10808396339416504, 0.30617499351501465, 0, 0, 0, 0, 0
0.02465200424194336, 0.038739919662475586, 0, 0, 0, 0, 0
0.02262091636657715, 0.03581809997558594, 0, 0, 0, 0, 0
0.0882570743560791, 0.12191200256347656, 0, 0, 0, 0, 0
0.025465011596679688, 0.03870582580566406, 0, 0, 0, 0, 0
0.024295806884765625, 0.037209272384643555, 0, 0, 0, 0, 0
0.028725862503051758, 0.0433201789855957, 0, 0, 0, 0, 0
0.04163312911987305, 0.05855917930603027, 0, 0, 0, 0, 0
0.19579815864562988, 0.22967100143432617, 0, 0, 0, 0, 0
0.17878103256225586, 0.21328401565551758, 0.07569694519042969, 150654, 751, 26533, 101
0.17653870582580566, 0.17400503158569336, 0, 0, 0, 0, 0
