raw_finish_time, proof_generation_time, proof_checking_time, raw_proof_size, raw_derivation_steps, trimmed_proof_size, trimmed_derivation_steps
0.0303189754486084, 0.039891958236694336, 0, 0, 0, 0, 0
0.026036977767944336, 0.03786182403564453, 0, 0, 0, 0, 0
0.2748990058898926, 0.271651029586792, 0.09193921089172363, 216458, 895, 18949, 93
0.2641761302947998, 0.28948187828063965, 0.0897071361541748, 217822, 895, 18926, 93
0.02669692039489746, 0.03966832160949707, 0, 0, 0, 0, 0
0.02377796173095703, 0.03782176971435547, 0.07153487205505371, 50454, 165, 9351, 44
0.10004019737243652, 0.12805604934692383, 0, 0, 0, 0, 0
0.02624678611755371, 0.03655195236206055, 0, 0, 0, 0, 0
0.026017189025878906, 0.03828597068786621, 0, 0, 0, 0, 0
0.025722026824951172, 0.03807997703552246, 0, 0, 0, 0, 0
0.023504018783569336, 0.03547215461730957, 0, 0, 0, 0, 0
0.03640389442443848, 0.048789024353027344, 0, 0, 0, 0, 0
0.23186922073364258, 0.2845032215118408, 0.08121705055236816, 258973, 1089, 14536, 73
0.02439713478088379, 0.03693199157714844, 0, 0, 0, 0, 0
0.02384209632873535, 0.03495311737060547, 0, 0, 0, 0, 0
0.253460168838501, 0.2874727249145508, 0.08323311805725098, 230686, 945, 19147, 93
0.2624049186706543, 0.2798328399658203, 0.08231711387634277, 230683, 937, 19111, 93
0.27315592765808105, 0.27332472801208496, 0.08262801170349121, 219969, 885, 19148, 93
0.024292707443237305, 0.03590822219848633, 0, 0, 0, 0, 0
0.2659871578216553, 0.284621000289917, 0.08215975761413574, 233516, 947, 19472, 93
0.024289846420288086, 0.036187171936035156, 0, 0, 0, 0, 0
0.10869288444519043, 0.1339569091796875, 0, 0, 0, 0, 0
0.026969194412231445, 0.039823293685913086, 0, 0, 0, 0, 0
0.09242963790893555, 0.12046694755554199, 0, 0, 0, 0, 0
0.028031110763549805, 0.04288482666015625, 0, 0, 0, 0, 0
