raw_finish_time, proof_generation_time, proof_checking_time, raw_proof_size, raw_derivation_steps, trimmed_proof_size, trimmed_derivation_steps
0.09765505790710449, 0.11223411560058594, 0, 0, 0, 0, 0
0.0836029052734375, 0.10982489585876465, 0, 0, 0, 0, 0
0.08178400993347168, 0.11041617393493652, 0, 0, 0, 0, 0
0.02120494842529297, 0.03328514099121094, 0.11688995361328125, 34647, 131, 8766, 51
0.02235579490661621, 0.03452897071838379, 0.11083507537841797, 34692, 131, 8788, 51
0.022884845733642578, 0.03244423866271973, 0, 0, 0, 0, 0
0.02390289306640625, 0.03733110427856445, 0, 0, 0, 0, 0
0.08191108703613281, 0.11276483535766602, 0, 0, 0, 0, 0
0.06743764877319336, 0.0903322696685791, 0, 0, 0, 0, 0
0.169921875, 0.14921975135803223, 0, 0, 0, 0, 0
0.1533808708190918, 0.21315407752990723, 0, 0, 0, 0, 0
0.09786319732666016, 0.11850595474243164, 0, 0, 0, 0, 0
0.11862516403198242, 0.18518996238708496, 0, 0, 0, 0, 0
0.11800289154052734, 0.14448094367980957, 0, 0, 0, 0, 0
0.1185307502746582, 0.14764189720153809, 0, 0, 0, 0, 0
0.14286279678344727, 0.1669139862060547, 0, 0, 0, 0, 0
0.13917088508605957, 0.16579580307006836, 0, 0, 0, 0, 0
0.0476071834564209, 0.06572604179382324, 0.11338591575622559, 52159, 228, 9737, 53
1.4904849529266357, 0.16936302185058594, 0, 0, 0, 0, 0
0.14100909233093262, 0.16923093795776367, 0, 0, 0, 0, 0
