raw_finish_time, proof_generation_time, proof_checking_time, raw_proof_size, raw_derivation_steps, trimmed_proof_size, trimmed_derivation_steps
0.03254508972167969, 0.03846287727355957, 0, 0, 0, 0, 0
0.02462625503540039, 0.03433489799499512, 0, 0, 0, 0, 0
0.024374008178710938, 0.034316062927246094, 0, 0, 0, 0, 0
0.023890972137451172, 0.033020973205566406, 0, 0, 0, 0, 0
0.022392988204956055, 0.03218507766723633, 0, 0, 0, 0, 0
0.0228729248046875, 0.03269791603088379, 0, 0, 0, 0, 0
0.023187875747680664, 0.033574819564819336, 0, 0, 0, 0, 0
0.02236485481262207, 0.03365492820739746, 0, 0, 0, 0, 0
0.0358278751373291, 0.04731106758117676, 0, 0, 0, 0, 0
0.03596901893615723, 0.04756283760070801, 0, 0, 0, 0, 0
0.022549867630004883, 0.03300285339355469, 0, 0, 0, 0, 0
0.05091691017150879, 0.06456613540649414, 0, 0, 0, 0, 0
0.051573991775512695, 0.06430196762084961, 0, 0, 0, 0, 0
0.05144977569580078, 0.06390094757080078, 0, 0, 0, 0, 0
0.06806087493896484, 0.08204889297485352, 0, 0, 0, 0, 0
0.025866985321044922, 0.03727006912231445, 0, 0, 0, 0, 0
0.022897005081176758, 0.03434491157531738, 0, 0, 0, 0, 0
0.023283004760742188, 0.03463482856750488, 0, 0, 0, 0, 0
0.025436878204345703, 0.03728485107421875, 0, 0, 0, 0, 0
0.023009061813354492, 0.03205394744873047, 0, 0, 0, 0, 0
0.06868219375610352, 0.08409285545349121, 0, 0, 0, 0, 0
0.06947493553161621, 0.08414793014526367, 0, 0, 0, 0, 0
0.07460784912109375, 0.09552907943725586, 0.14526581764221191, 84887, 320, 22873, 94
0.026376008987426758, 0.037783145904541016, 0, 0, 0, 0, 0
0.0888519287109375, 0.10765790939331055, 0, 0, 0, 0, 0
